front,back,extra,tags
el perro,the dog,El perro corre por el parque.,animals noun a1
la casa,the house,Mi casa es tu casa.,home noun a1
comer,to eat,Quiero comer algo.,verb a1
beber,to drink,Voy a beber agua.,verb a1
el libro,the book,Estoy leyendo un libro.,objects noun a1
la ventana,the window,Abre la ventana por favor.,home noun a1
rápido,fast,El tren es muy rápido.,adjective a1
despacio,slowly,Habla más despacio.,adverb a1
el trabajo,the work / the job,Voy al trabajo a las ocho.,work noun a2
la semana,the week,La semana que viene.,time noun a1
siempre,always,Siempre llego tarde.,adverb a1
nunca,never,Nunca he estado en Perú.,adverb a2
aprender,to learn,Quiero aprender español.,verb a1
entender,to understand,No entiendo la pregunta.,verb a2
la palabra,the word,¿Cómo se dice esta palabra?,language noun a1
